Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Product Name,Brand,Subcategory,Category,Unit Cost USD,Unit Price USD,Revenue,Cost,Profit
366000,1,1/1/2016,,265598,10,1304,1,CAD,Contoso Lens Adapter M450 White,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,31.27,68.0,68.0,31.27,36.730000000000004
366001,1,1/1/2016,1/13/2016,1269051,0,1048,2,USD,A. Datum SLR Camera X136 Silver,A. Datum,Digital SLR Cameras,Cameras and camcorders,141.47,427.0,854.0,282.94,571.06
366001,2,1/1/2016,1/13/2016,1269051,0,2007,1,USD,Fabrikam Microwave 1.5CuFt X1100 Black,Fabrikam,Microwaves,Home Appliances,220.64,665.94,665.94,220.64,445.30000000000007
366002,1,1/1/2016,1/12/2016,266019,0,1106,7,CAD,Contoso SLR Camera M146 Orange,Contoso,Digital SLR Cameras,Cameras and camcorders,148.08,322.0,2254.0,1036.5600000000002,1217.4399999999998
366002,2,1/1/2016,1/12/2016,266019,0,373,1,CAD,Adventure Works Laptop8.9 E0890 White,Adventure Works,Laptops,Computers,166.2,326.0,326.0,166.2,159.8
366002,3,1/1/2016,1/12/2016,266019,0,1080,4,CAD,Contoso SLR Camera X143 Silver,Contoso,Digital SLR Cameras,Cameras and camcorders,214.03,646.0,2584.0,856.12,1727.88
366004,1,1/1/2016,,1107461,38,163,6,GBP,"Adventure Works 52"" LCD HDTV X790W White",Adventure Works,Televisions,TV and Video,527.53,1592.2,9553.2,3165.18,6388.02
366004,2,1/1/2016,,1107461,38,1529,2,GBP,The Phone Company PDA Handheld 3.5 inch M610 Black,The Phone Company,Smart phones & PDAs,Cell phones,117.27,255.0,510.0,234.54,275.46000000000004
366005,1,1/1/2016,,844003,33,421,4,EUR,Adventure Works Desktop PC3.0 MS300 Silver,Adventure Works,Desktops,Computers,215.68,469.0,1876.0,862.72,1013.28
366007,1,1/1/2016,,2035771,43,1617,1,USD,Contoso DVD Player M110 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",26.67,57.99,57.99,26.67,31.32
366007,2,1/1/2016,,2035771,43,666,5,USD,Proseware Office Jet All-in-One Printer M500 Black,Proseware,"Printers, Scanners & Fax",Computers,74.96,163.0,815.0,374.79999999999995,440.20000000000005
366008,1,1/1/2016,,759705,29,1154,9,EUR,"Fabrikam Trendsetter 1/3"" 8.5mm X200 Blue",Fabrikam,Camcorders,Cameras and camcorders,330.66,998.0,8982.0,2975.94,6006.0599999999995
366008,2,1/1/2016,,759705,29,2510,1,EUR,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,Cell phones Accessories,Cell phones,2.07,4.06,4.06,2.07,1.9899999999999998
366008,3,1/1/2016,,759705,29,1060,5,EUR,A. Datum SLR Camera X139 Gold,A. Datum,Digital SLR Cameras,Cameras and camcorders,207.74,627.0,3135.0,1038.7,2096.3
366009,1,1/1/2016,,254540,9,1648,1,CAD,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,Movie DVD,"Music, Movies and Audio Books",56.08,109.99,109.99,56.08,53.91
366010,1,1/1/2016,1/8/2016,370077,0,618,5,CAD,WWI Screen 113in M1610 Black,Wide World Importers,Projectors & Screens,Computers,99.06,299.0,1495.0,495.3,999.7
366011,1,1/1/2016,,1984985,66,128,7,USD,"Adventure Works 19"" Color Digital TV E35 Brown",Adventure Works,Televisions,TV and Video,73.11,143.4,1003.8000000000001,511.77,492.0300000000001
366011,2,1/1/2016,,1984985,66,1638,1,USD,Contoso DVD 58 DVD Storage Binder M55 Red,Contoso,Movie DVD,"Music, Movies and Audio Books",6.39,13.89,13.89,6.39,7.500000000000001
366011,3,1/1/2016,,1984985,66,1634,1,USD,Contoso DVD 38 DVD Storage Binder E25 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",5.09,9.99,9.99,5.09,4.9
366011,4,1/1/2016,,1984985,66,2392,3,USD,Proseware Air conditioner 10000BTU M490 Red,Proseware,Air Conditioners,Home Appliances,197.74,429.99,1289.97,593.22,696.75
366012,1,1/1/2016,,1977527,65,1807,1,USD,MGS Dungeon Siege 2009 E163,Tailspin Toys,Download Games,Games and Toys,16.31,32.0,32.0,16.31,15.690000000000001
366012,2,1/1/2016,,1977527,65,1594,4,USD,SV DVD 38 DVD Storage Binder E25 Red,Southridge Video,Movie DVD,"Music, Movies and Audio Books",5.09,9.99,39.96,20.36,19.6
366012,3,1/1/2016,,1977527,65,1297,1,USD,Contoso USB Cable M250 White,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,11.5,25.0,25.0,11.5,13.5
366013,1,1/1/2016,,1187306,41,1654,5,GBP,Contoso DVD 14-Inch Player Portable L100 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",86.14,259.99,1299.95,430.7,869.25
366014,1,1/1/2016,1/6/2016,738549,0,123,1,EUR,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Televisions,TV and Video,128.76,279.99,279.99,128.76,151.23000000000002
366014,2,1/1/2016,1/6/2016,738549,0,1700,2,EUR,SV Hand Games women M40 Red,Southridge Video,Boxed Games,Games and Toys,4.08,8.88,17.76,8.16,9.600000000000001
366016,1,1/1/2016,,1982762,63,1253,7,USD,Contoso General Carrying Case E304 Silver,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,10.19,19.99,139.92999999999998,71.33,68.59999999999998
367000,1,1/2/2016,,1438050,56,1176,1,USD,Fabrikam Trendsetter 1'' 25mm X400 White,Fabrikam,Camcorders,Cameras and camcorders,331.32,1000.0,1000.0,331.32,668.6800000000001
367003,1,1/2/2016,,980164,40,153,2,GBP,"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Televisions,TV and Video,216.12,469.97,939.94,432.24,507.70000000000005
367004,1,1/2/2016,,1853699,56,136,1,USD,"Adventure Works 20"" LCD HDTV M120 Brown",Adventure Works,Televisions,TV and Video,160.93,349.95,349.95,160.93,189.01999999999998
367004,2,1/2/2016,,1853699,56,1637,4,USD,Contoso DVD 48 DVD Storage Binder M50 Red,Contoso,Movie DVD,"Music, Movies and Audio Books",8.27,17.99,71.96,33.08,38.879999999999995
367005,1,1/2/2016,1/10/2016,758280,0,1691,1,EUR,SV Hand Games for kids E30 Black,Southridge Video,Boxed Games,Games and Toys,2.75,5.39,5.39,2.75,2.6399999999999997
367005,2,1/2/2016,1/10/2016,758280,0,319,2,EUR,SV Car Video LCD9.2W X9281 Silver,Southridge Video,Car Video,TV and Video,287.92,869.0,1738.0,575.84,1162.1599999999999
367005,3,1/2/2016,1/10/2016,758280,0,1674,8,EUR,MGS Hand Games for students E400 Red,Tailspin Toys,Boxed Games,Games and Toys,3.56,6.99,55.92,28.48,27.44
367005,4,1/2/2016,1/10/2016,758280,0,2511,9,EUR,Contoso Original K1m Li-Ion Standard Battery E170 Silver,Contoso,Cell phones Accessories,Cell phones,2.07,4.06,36.54,18.63,17.91
367005,5,1/2/2016,1/10/2016,758280,0,1720,2,EUR,MGS Zoo Tycoon 2: African Adventure M280,Tailspin Toys,Download Games,Games and Toys,32.25,70.13,140.26,64.5,75.75999999999999
367005,6,1/2/2016,1/10/2016,758280,0,1597,7,EUR,SV DVD External DVD Burner M200 Black,Southridge Video,Movie DVD,"Music, Movies and Audio Books",26.62,57.88,405.16,186.34,218.82000000000002
367005,7,1/2/2016,1/10/2016,758280,0,784,1,EUR,Contoso Laptop Starter Bundle M200 White,Contoso,Computers Accessories,Computers,7.59,16.5,16.5,7.59,8.91
367006,1,1/2/2016,,693285,18,2445,3,EUR,Litware 80mm Dual Ball Bearing Case Fan E1001 Green,Litware,Fans,Home Appliances,2.54,4.99,14.97,7.62,7.3500000000000005
367007,1,1/2/2016,,1730985,57,65,7,USD,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,Recording Pen,Audio,83.24,181.0,1267.0,582.68,684.32
367007,2,1/2/2016,,1730985,57,1432,9,USD,The Phone Company Touch Screen Phones Infrared M901 Grey,The Phone Company,Touch Screen Phones,Cell phones,137.96,300.0,2700.0,1241.64,1458.36
367008,1,1/2/2016,,763246,28,1951,3,EUR,Litware Refrigerator 24.7CuFt X980 Silver,Litware,Refrigerators,Home Appliances,1060.22,3199.99,9599.97,3180.66,6419.3099999999995
367009,1,1/2/2016,,1512558,57,934,1,USD,SV 4GB Laptop Memory M65 Blue,Southridge Video,Computers Accessories,Computers,36.33,79.0,79.0,36.33,42.67
367009,2,1/2/2016,,1512558,57,930,8,USD,SV 512MB Laptop memory E800 Yellow,Southridge Video,Computers Accessories,Computers,17.33,33.99,271.92,138.64,133.28000000000003
367009,3,1/2/2016,,1512558,57,1436,5,USD,The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Grey,The Phone Company,Touch Screen Phones,Cell phones,118.65,258.0,1290.0,593.25,696.75
367009,4,1/2/2016,,1512558,57,1547,3,USD,The Phone Company PDA Handheld 3.5 inch M610 Silver,The Phone Company,Smart phones & PDAs,Cell phones,117.27,255.0,765.0,351.81,413.19
367009,5,1/2/2016,,1512558,57,53,5,USD,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Recording Pen,Audio,98.07,296.0,1480.0,490.34999999999997,989.6500000000001
367010,1,1/2/2016,,1322959,66,917,1,USD,SV 500GB USB 2.0 Portable External Hard Drive X405 White,Southridge Video,Computers Accessories,Computers,59.31,179.0,179.0,59.31,119.69
367010,2,1/2/2016,,1322959,66,39,1,USD,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,MP4&MP3,Audio,99.14,299.23,299.23,99.14,200.09000000000003
367011,1,1/2/2016,,507981,22,39,1,EUR,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,MP4&MP3,Audio,99.14,299.23,299.23,99.14,200.09000000000003
367012,1,1/2/2016,,209990,9,1653,5,CAD,Contoso DVD 7-Inch Player Portable E200 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",56.08,109.99,549.9499999999999,280.4,269.54999999999995
367012,2,1/2/2016,,209990,9,145,3,CAD,"Adventure Works 52"" LCD HDTV X590 Silver",Adventure Works,Televisions,TV and Video,960.82,2899.99,8699.97,2882.46,5817.509999999999
367013,1,1/2/2016,,815458,31,1733,2,EUR,MGS Halo: Combat Evolved E109,Tailspin Toys,Download Games,Games and Toys,11.62,22.79,45.58,23.24,22.34
367013,2,1/2/2016,,815458,31,41,6,EUR,Contoso 16GB New Generation MP5 Player M1650 Silver,Contoso,MP4&MP3,Audio,106.69,232.0,1392.0,640.14,751.86
367014,1,1/2/2016,,1839627,56,1184,3,USD,Fabrikam Business Videographer 1'' 25mm M600 White,Fabrikam,Camcorders,Cameras and camcorders,409.28,890.0,2670.0,1227.84,1442.16
367015,1,1/2/2016,,911025,42,2296,7,GBP,Proseware Chandelier M0815 Grey,Proseware,Lamps,Home Appliances,123.47,268.5,1879.5,864.29,1015.21
367016,1,1/2/2016,,1633409,63,1487,1,USD,The Phone Company Smart phones Unlocked M300 Grey,The Phone Company,Smart phones & PDAs,Cell phones,122.78,267.0,267.0,122.78,144.22
367016,2,1/2/2016,,1633409,63,558,7,USD,Proseware Screen 113in X1609 White,Proseware,Projectors & Screens,Computers,99.06,299.0,2093.0,693.4200000000001,1399.58
367016,3,1/2/2016,,1633409,63,206,3,USD,Litware Home Theater System 5.1 Channel M515 Black,Litware,Home Theater System,TV and Video,261.66,569.0,1707.0,784.98,922.02
367017,1,1/2/2016,,1612400,47,1203,4,USD,Fabrikam Trendsetter 2/3'' 17mm X100 Grey,Fabrikam,Camcorders,Cameras and camcorders,324.69,980.0,3920.0,1298.76,2621.24
367018,1,1/2/2016,,1301565,59,1245,2,USD,Fabrikam Social Videographer 1/3'' 8.5mm E200 White,Fabrikam,Camcorders,Cameras and camcorders,85.65,168.0,336.0,171.3,164.7
367018,2,1/2/2016,,1301565,59,1973,4,USD,Litware Refrigerator 3.2CuFt E160 Grey,Litware,Refrigerators,Home Appliances,142.75,279.99,1119.96,571.0,548.96
367018,3,1/2/2016,,1301565,59,731,4,USD,Proseware Ink Jet Wireless All-In-One Printer M400 Green,Proseware,"Printers, Scanners & Fax",Computers,59.32,129.0,516.0,237.28,278.72
367019,1,1/2/2016,,793573,29,1947,2,EUR,Litware Refrigerator 9.7CuFt M560 Brown,Litware,Refrigerators,Home Appliances,226.71,493.0,986.0,453.42,532.5799999999999
367019,2,1/2/2016,,793573,29,1645,7,EUR,Contoso DVD External DVD Burner M200 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",26.62,57.88,405.16,186.34,218.82000000000002
367019,3,1/2/2016,,793573,29,371,7,EUR,Adventure Works Laptop16 M1601 White,Adventure Works,Laptops,Computers,275.46,599.0,4193.0,1928.2199999999998,2264.78
367020,1,1/2/2016,,799366,29,448,6,EUR,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Desktops,Computers,137.6,269.9,1619.3999999999999,825.5999999999999,793.8
367020,2,1/2/2016,,799366,29,1975,1,EUR,Litware Refrigerator L1200 Orange,Litware,Refrigerators,Home Appliances,1060.22,3199.99,3199.99,1060.22,2139.7699999999995
367021,1,1/2/2016,,243917,10,1445,4,CAD,"The Phone Company Touch Screen Phones 26-1.4"" M250 Gold",The Phone Company,Touch Screen Phones,Cell phones,123.24,268.0,1072.0,492.96,579.04
367021,2,1/2/2016,,243917,10,1624,6,CAD,Contoso DVD Recorder L220 White,Contoso,Movie DVD,"Music, Movies and Audio Books",72.56,219.0,1314.0,435.36,878.64
367021,3,1/2/2016,,243917,10,1615,2,CAD,SV DVD 15-Inch Player Portable L200 White,Southridge Video,Movie DVD,"Music, Movies and Audio Books",96.08,289.99,579.98,192.16,387.82000000000005
367022,1,1/2/2016,,942807,42,1596,1,GBP,SV DVD 55DVD Storage Binder M56 Red,Southridge Video,Movie DVD,"Music, Movies and Audio Books",5.82,12.66,12.66,5.82,6.84
367022,2,1/2/2016,,942807,42,1253,7,GBP,Contoso General Carrying Case E304 Silver,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,10.19,19.99,139.92999999999998,71.33,68.59999999999998
367022,3,1/2/2016,,942807,42,663,3,GBP,Proseware High-Performance Business-Class Laser Fax X200 Black,Proseware,"Printers, Scanners & Fax",Computers,82.17,248.0,744.0,246.51,497.49
367022,4,1/2/2016,,942807,42,1194,6,GBP,Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Grey,Fabrikam,Camcorders,Cameras and camcorders,291.09,633.0,3798.0,1746.54,2051.46
367023,1,1/2/2016,,129318,2,1139,5,AUD,"Fabrikam SLR Camera 35"" M358 Orange",Fabrikam,Digital SLR Cameras,Cameras and camcorders,150.84,328.0,1640.0,754.2,885.8
367023,2,1/2/2016,,129318,2,1031,2,AUD,A. Datum Ultra Compact Digital Camera M190 Azure,A. Datum,Digital Cameras,Cameras and camcorders,75.88,165.0,330.0,151.76,178.24
367024,1,1/2/2016,,1713253,50,302,8,USD,SV Car Video LCD9.2W X9280 Black,Southridge Video,Car Video,TV and Video,330.99,999.0,7992.0,2647.92,5344.08
367024,2,1/2/2016,,1713253,50,2105,5,USD,Contoso Water Heater 7.2GPM X1800 Grey,Contoso,Water Heaters,Home Appliances,488.7,1475.0,7375.0,2443.5,4931.5
367025,1,1/2/2016,,1736623,56,1608,1,USD,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Movie DVD,"Music, Movies and Audio Books",56.08,109.99,109.99,56.08,53.91
367025,2,1/2/2016,,1736623,56,1641,2,USD,Contoso DVD 55DVD Storage Binder M56 Red,Contoso,Movie DVD,"Music, Movies and Audio Books",5.82,12.66,25.32,11.64,13.68
367025,3,1/2/2016,,1736623,56,1574,3,USD,SV DVD Player M130 Grey,Southridge Video,Movie DVD,"Music, Movies and Audio Books",27.59,59.99,179.97,82.77,97.2
367026,1,1/2/2016,,1836599,53,2218,2,USD,Adventure Works Wall Lamp E2150 Grey,Adventure Works,Lamps,Home Appliances,61.17,119.99,239.98,122.34,117.63999999999999
367026,2,1/2/2016,,1836599,53,78,1,USD,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Bluetooth Headphones,Audio,18.65,40.55,40.55,18.65,21.9
367027,1,1/2/2016,,1482586,53,2451,3,USD,Litware Desktop Wind Tower Oscillating Fan E1201 Brown,Litware,Fans,Home Appliances,15.29,29.99,89.97,45.87,44.1
367027,2,1/2/2016,,1482586,53,1645,1,USD,Contoso DVD External DVD Burner M200 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",26.62,57.88,57.88,26.62,31.26
367027,3,1/2/2016,,1482586,53,1728,2,USD,MGS Age of Mythology: Gold Edition M310,Tailspin Toys,Download Games,Games and Toys,36.7,79.8,159.6,73.4,86.19999999999999
367028,1,1/2/2016,1/11/2016,607356,0,976,1,EUR,A. Datum All in One Digital Camera M200 Pink,A. Datum,Digital Cameras,Cameras and camcorders,86.45,188.0,188.0,86.45,101.55
367028,2,1/2/2016,1/11/2016,607356,0,2017,3,EUR,Fabrikam Microwave 0.9CuFt E0900 Blue,Fabrikam,Microwaves,Home Appliances,50.98,99.99,299.96999999999997,152.94,147.02999999999997
367029,1,1/2/2016,,1260533,66,1607,1,USD,SV DVD 12-Inch Player Portable M400 Silver,Southridge Video,Movie DVD,"Music, Movies and Audio Books",82.77,179.99,179.99,82.77,97.22000000000001
367029,2,1/2/2016,,1260533,66,1223,7,USD,Fabrikam Budget Moviemaker 2/3'' 17mm E100 Black,Fabrikam,Camcorders,Cameras and camcorders,234.52,460.0,3220.0,1641.64,1578.36
367030,1,1/2/2016,,1843882,51,2010,7,USD,Fabrikam Microwave 1.0CuFt E1100 Black,Fabrikam,Microwaves,Home Appliances,71.37,139.99,979.9300000000001,499.59000000000003,480.34000000000003
367030,2,1/2/2016,,1843882,51,426,1,USD,Adventure Works Desktop PC1.80 ED182 Black,Adventure Works,Desktops,Computers,254.86,499.9,499.9,254.86,245.03999999999996
367031,1,1/2/2016,1/7/2016,909014,0,120,3,GBP,"Adventure Works 13"" Color TV E25 Black",Adventure Works,Televisions,TV and Video,61.17,119.99,359.96999999999997,183.51,176.45999999999998
367031,2,1/2/2016,1/7/2016,909014,0,382,2,GBP,Adventure Works Laptop12 M1201 Red,Adventure Works,Laptops,Computers,195.24,382.95,765.9,390.48,375.41999999999996
367031,3,1/2/2016,1/7/2016,909014,0,1722,3,GBP,MGS Zoo Tycoon 2: End range Species Expansion Pack E105,Tailspin Toys,Download Games,Games and Toys,28.55,56.0,168.0,85.65,82.35
367031,4,1/2/2016,1/7/2016,909014,0,132,1,GBP,"Adventure Works 20"" Analog CRT TV E45 Brown",Adventure Works,Televisions,TV and Video,101.97,200.0,200.0,101.97,98.03
368000,1,1/3/2016,,892838,32,1440,1,EUR,The Phone Company Touch Screen Phones - CRT M11 Grey,The Phone Company,Touch Screen Phones,Cell phones,86.91,189.0,189.0,86.91,102.09
368001,1,1/3/2016,,1670789,64,1598,3,USD,SV DVD External DVD Burner M200 Grey,Southridge Video,Movie DVD,"Music, Movies and Audio Books",26.62,57.88,173.64000000000001,79.86,93.78000000000002
369000,1,1/4/2016,,1143828,37,2167,9,GBP,Fabrikam Coffee Maker Auto 5C E090 Black,Fabrikam,Coffee Machines,Home Appliances,83.1,163.0,1467.0,747.9,719.1
369000,2,1/4/2016,,1143828,37,167,1,GBP,SV 8xDVD E100 Black,Southridge Video,VCD & DVD,TV and Video,35.18,69.0,69.0,35.18,33.82
369001,1,1/4/2016,,269337,8,1301,1,CAD,Contoso Telephoto Conversion Lens M350 White,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,43.69,95.0,95.0,43.69,51.31
369001,2,1/4/2016,,269337,8,1649,4,CAD,Contoso DVD 14-Inch Player Portable L100 Black,Contoso,Movie DVD,"Music, Movies and Audio Books",86.14,259.99,1039.96,344.56,695.4000000000001
369002,1,1/4/2016,,258316,8,1656,1,CAD,Contoso DVD 9-Inch Player Portable M300 White,Contoso,Movie DVD,"Music, Movies and Audio Books",73.57,159.99,159.99,73.57,86.42000000000002
369004,1,1/4/2016,,1389462,65,1961,5,USD,Litware Refrigerator 3.2CuFt E160 Green,Litware,Refrigerators,Home Appliances,142.75,279.99,1399.95,713.75,686.2
369004,2,1/4/2016,,1389462,65,1991,3,USD,Fabrikam Microwave 1.6CuFt M1250 Silver,Fabrikam,Microwaves,Home Appliances,82.77,179.99,539.97,248.31,291.66
369005,1,1/4/2016,,1866637,56,183,3,USD,SV 16xDVD M330 Silver,Southridge Video,VCD & DVD,TV and Video,50.13,109.0,327.0,150.39000000000001,176.60999999999999
369006,1,1/4/2016,,734605,28,654,1,EUR,Proseware Ink Jet Wireless All-In-One Printer M400 Black,Proseware,"Printers, Scanners & Fax",Computers,59.32,129.0,129.0,59.32,69.68
369007,1,1/4/2016,,571622,20,2510,3,EUR,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,Cell phones Accessories,Cell phones,2.07,4.06,12.18,6.209999999999999,5.970000000000001
369007,2,1/4/2016,,571622,20,2103,1,EUR,Contoso Water Heater 2.6GPM E0900 Silver,Contoso,Water Heaters,Home Appliances,258.99,508.0,508.0,258.99,249.01
369007,3,1/4/2016,,571622,20,1578,3,EUR,SV DVD Recorder L210 Silver,Southridge Video,Movie DVD,"Music, Movies and Audio Books",72.56,219.0,657.0,217.68,439.32
